datetime,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL,RSI_AAPL,MA100_AAPL,MA200_AAPL,BBL_AAPL,BBM_AAPL,BBU_AAPL,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,volume_GOOGL,RSI_GOOGL,OBV_GOOGL,MACD_GOOGL,MACD_signal_GOOGL,MACD_hist_GOOGL,TARGET_close_AAPL
2018-06-11,47.8375,47.9925,47.5525,47.8075,73234000.0,62.0158624846688,43.936499950000005,42.68889999499999,46.08470646793798,47.2996247,48.51454293206203,56.647,57.387,56.57,57.044998,24796000.0,63.507391997167744,8971959596.0,1.0080376969362774,0.8167755862727325,0.19126211066354493,47.8075
2018-06-12,47.8475,48.1525,47.7875,48.07,67644400.0,64.1274507627188,43.96904995,42.730162495,46.09812600484004,47.3512498,48.604373595159956,57.050999,57.4375,57.050999,57.4095,26092000.0,65.23881697568123,8998051596.0,1.035835952262758,0.8605876594707377,0.17524829279202037,48.07
2018-06-13,48.105,48.22,47.61,47.675,86553600.0,58.827858209905806,43.999649950000006,42.768712495,46.19204378793355,47.404499799999996,48.61695581206644,57.614,57.782,57.169,57.2115,34302000.0,63.47698287844998,8963749596.0,1.030015942022679,0.894473315981126,0.1355426260415531,47.675
2018-06-14,47.8875,47.8925,47.555,47.7,86440400.0,59.05847457439953,44.03414995,42.805374995,46.23003199514794,47.4372499,48.644467804852056,57.6105,58.2995,57.53,58.0055008,35422000.0,67.29166067391301,8999171596.0,1.0770571266833286,0.9309900781215665,0.14606704856176211,47.7
2018-06-15,47.5075,47.54,47.064999,47.21,246876800.0,52.8142497526785,44.06364995,42.837787495,46.28972827279118,47.4603749,48.631021527208816,57.996,58.1955,57.6845,57.9635,44438000.0,66.89364754491606,8954733596.0,1.0982881092330246,0.9644496843438581,0.13383842488916642,47.21
2018-06-18,46.97,47.305,46.8,47.185,73939600.0,52.50920723306579,44.09994995,42.869524995,46.383503038367344,47.4907499,48.59799676163265,57.6345,59.2065,57.55,59.179,33038000.0,72.04656733553587,8987771596.0,1.1993689290741543,1.0114335332899174,0.1879353957842369,47.185
2018-06-19,46.285,46.5825,45.8625,46.4225,134314000.0,44.13608235020741,44.136399950000005,42.89663749500001,46.29013310210261,47.4664999,48.6428666978974,58.5055,59.1405,58.080502,58.9345,47282000.0,69.69659791371213,8940489596.0,1.2453910081055284,1.0582250282530397,0.18716597985248873,46.4225
2018-06-20,46.5875,46.8,46.4325,46.625,82514800.0,46.57268825732038,44.17387495,42.92469999,46.26089423579852,47.4582499,48.65560556420148,59.165,60.074501,59.1015,59.2035,51686000.0,70.82413480728506,8992175596.0,1.2887143918696466,1.104322900976361,0.18439149089328555,46.625
2018-06-21,46.8125,47.087502,46.235,46.365,102847600.0,43.92366668527203,44.21762495,42.95392499,46.14124941391952,47.421999899999996,48.702750386080474,59.2755,59.5165,58.174,58.472,44966000.0,63.86508996688609,8947209596.0,1.2496177336578427,1.1333818675126575,0.11623586614518522,46.365
2018-06-22,46.53,46.5375,46.175,46.23,108801600.0,42.56972446504066,44.26249995,42.982687489999996,46.007432259699485,47.381625,48.755817740300515,58.5745,58.75,57.9825,58.4645,34220000.0,63.795876185033336,8912989596.0,1.204147500202346,1.1475349940505952,0.05661250615175084,46.23
